ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,beauty_count,beauty_psb_count,beauty_average_precision,beauty_precision@100,beauty_precision@200,beauty_precision@500
G02C,196,1,0.00510204081632653,0.0,0.00510204081632653,0.00510204081632653,196,1,0.012195121951219513,0.01,0.00510204081632653,0.00510204081632653,196,1,0.006172839506172839,0.0,0.00510204081632653,0.00510204081632653,196,1,0.014925373134328358,0.01,0.00510204081632653,0.00510204081632653,196,1,1.0,0.01,0.00510204081632653,0.00510204081632653
G01T,244,1,0.004098360655737705,0.0,0.005,0.004098360655737705,244,1,0.009615384615384616,0.0,0.005,0.004098360655737705,244,1,0.5,0.01,0.005,0.004098360655737705,244,1,0.013513513513513514,0.01,0.005,0.004098360655737705,244,1,1.0,0.01,0.005,0.004098360655737705
A61L,214,1,0.004672897196261682,0.01,0.005,0.004672897196261682,214,1,0.024390243902439025,0.01,0.005,0.004672897196261682,214,1,0.03333333333333333,0.01,0.005,0.004672897196261682,214,1,0.030303030303030304,0.01,0.005,0.004672897196261682,214,1,1.0,0.01,0.005,0.004672897196261682
G01S,408,1,0.0024509803921568627,0.0,0.0,0.0024509803921568627,408,1,0.0035714285714285713,0.0,0.0,0.0024509803921568627,408,1,0.0033222591362126247,0.0,0.0,0.0024509803921568627,408,1,0.0031645569620253164,0.0,0.0,0.0024509803921568627,408,1,1.0,0.01,0.005,0.0024509803921568627
B21K,120,1,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,120,1,0.008403361344537815,0.0,0.008333333333333333,0.008333333333333333,120,1,0.009615384615384616,0.0,0.008333333333333333,0.008333333333333333,120,1,0.009900990099009901,0.0,0.008333333333333333,0.008333333333333333,120,1,1.0,0.01,0.008333333333333333,0.008333333333333333
G04B,163,1,0.006134969325153374,0.0,0.006134969325153374,0.006134969325153374,163,1,0.007194244604316547,0.0,0.006134969325153374,0.006134969325153374,163,1,0.006944444444444444,0.0,0.006134969325153374,0.006134969325153374,163,1,0.007874015748031496,0.0,0.006134969325153374,0.006134969325153374,163,1,1.0,0.01,0.006134969325153374,0.006134969325153374
G03F,131,1,0.007633587786259542,0.01,0.007633587786259542,0.007633587786259542,131,1,0.05263157894736842,0.01,0.007633587786259542,0.007633587786259542,131,1,0.00819672131147541,0.0,0.007633587786259542,0.007633587786259542,131,1,0.011235955056179775,0.01,0.007633587786259542,0.007633587786259542,131,1,1.0,0.01,0.007633587786259542,0.007633587786259542
G03D,80,1,0.0125,0.0125,0.0125,0.0125,80,1,0.02857142857142857,0.0125,0.0125,0.0125,80,1,0.02702702702702703,0.0125,0.0125,0.0125,80,1,0.017543859649122806,0.0125,0.0125,0.0125,80,1,1.0,0.0125,0.0125,0.0125
F41D,60,1,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,60,1,1.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,60,1,0.05,0.016666666666666666,0.016666666666666666,0.016666666666666666,60,1,0.5,0.016666666666666666,0.016666666666666666,0.016666666666666666,60,1,1.0,0.016666666666666666,0.016666666666666666,0.016666666666666666
B23B,491,1,0.002036659877800407,0.01,0.005,0.002036659877800407,491,1,0.005,0.0,0.005,0.002036659877800407,491,1,0.038461538461538464,0.01,0.005,0.002036659877800407,491,1,0.023809523809523808,0.01,0.005,0.002036659877800407,491,1,1.0,0.01,0.005,0.002036659877800407
B23C,159,1,0.006289308176100629,0.01,0.006289308176100629,0.006289308176100629,159,1,0.0064516129032258064,0.0,0.006289308176100629,0.006289308176100629,159,1,0.009433962264150943,0.0,0.006289308176100629,0.006289308176100629,159,1,0.006578947368421052,0.0,0.006289308176100629,0.006289308176100629,159,1,1.0,0.01,0.006289308176100629,0.006289308176100629
A45F,139,1,0.007194244604316547,0.01,0.007194244604316547,0.007194244604316547,139,1,0.025,0.01,0.007194244604316547,0.007194244604316547,139,1,0.022222222222222223,0.01,0.007194244604316547,0.007194244604316547,139,1,0.07142857142857142,0.01,0.007194244604316547,0.007194244604316547,139,1,1.0,0.01,0.007194244604316547,0.007194244604316547
B01F,515,1,0.001941747572815534,0.0,0.0,0.0,515,1,0.005076142131979695,0.0,0.005,0.002,515,1,0.009900990099009901,0.0,0.005,0.002,515,1,0.0029940119760479044,0.0,0.0,0.002,515,1,1.0,0.01,0.005,0.002
A63H,397,1,0.0025188916876574307,0.0,0.005,0.0025188916876574307,397,1,0.0025380710659898475,0.0,0.0,0.0025188916876574307,397,1,0.003436426116838488,0.0,0.0,0.0025188916876574307,397,1,0.003745318352059925,0.0,0.0,0.0025188916876574307,397,1,1.0,0.01,0.005,0.0025188916876574307
B02C,405,1,0.0024691358024691358,0.0,0.005,0.0024691358024691358,405,1,0.0038910505836575876,0.0,0.0,0.0024691358024691358,405,1,0.0028653295128939827,0.0,0.0,0.0024691358024691358,405,1,0.003367003367003367,0.0,0.0,0.0024691358024691358,405,1,1.0,0.01,0.005,0.0024691358024691358
A63F,398,1,0.002512562814070352,0.01,0.005,0.002512562814070352,398,1,0.009259259259259259,0.0,0.005,0.002512562814070352,398,1,0.008620689655172414,0.0,0.005,0.002512562814070352,398,1,0.010416666666666666,0.01,0.005,0.002512562814070352,398,1,1.0,0.01,0.005,0.002512562814070352
G10D,168,1,0.005952380952380952,0.0,0.005952380952380952,0.005952380952380952,168,1,0.012195121951219513,0.01,0.005952380952380952,0.005952380952380952,168,1,0.016129032258064516,0.01,0.005952380952380952,0.005952380952380952,168,1,0.01694915254237288,0.01,0.005952380952380952,0.005952380952380952,168,1,1.0,0.01,0.005952380952380952,0.005952380952380952
G07D,59,1,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,59,1,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,59,1,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,59,1,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,59,1,1.0,0.01694915254237288,0.01694915254237288,0.01694915254237288
G06G,113,1,0.008849557522123894,0.01,0.008849557522123894,0.008849557522123894,113,1,0.038461538461538464,0.01,0.008849557522123894,0.008849557522123894,113,1,0.0196078431372549,0.01,0.008849557522123894,0.008849557522123894,113,1,0.01020408163265306,0.01,0.008849557522123894,0.008849557522123894,113,1,1.0,0.01,0.008849557522123894,0.008849557522123894
G01R,1517,1,0.0006591957811470006,0.0,0.0,0.002,1517,1,0.002145922746781116,0.0,0.0,0.002,1517,1,0.0017391304347826088,0.0,0.0,0.0,1517,1,0.0022271714922048997,0.0,0.0,0.002,1517,1,1.0,0.01,0.005,0.002
